,vacance_name,salary_min,salary_max,salary_curr,href,source
153,Системный аналитик в команду сбора статистики,,,,https://hh.ru/vacancy/75783684?from=vacancy_search_list&query=Data+scientist,
154,Системный аналитик в команду сбора статистики,,,,https://hh.ru/vacancy/75783682?from=vacancy_search_list&query=Data+scientist,
155,Data engineer (middle),,,,https://hh.ru/vacancy/76715247?from=vacancy_search_list&query=Data+scientist,
156,Data Engineer,,,,https://hh.ru/vacancy/76717696?from=vacancy_search_list&query=Data+scientist,
157,DevOps/Инфраструктурный инженер,,,,https://hh.ru/vacancy/76760486?from=vacancy_search_list&query=Data+scientist,http://www.vigo.ru
158,Senior Python разработчик,,,,https://hh.ru/vacancy/76287212?from=vacancy_search_list&query=Data+scientist,https://anabar.ai
159,Senior Python разработчик,,,,https://hh.ru/vacancy/76287301?from=vacancy_search_list&query=Data+scientist,https://anabar.ai
160,Senior Data Scientist (WAF),,,,https://hh.ru/vacancy/74252169?from=vacancy_search_list&query=Data+scientist,https://www.ptsecurity.com/ru-ru/
161,Team Lead Fraud Analyst,,,,https://hh.ru/vacancy/73527795?from=vacancy_search_list&query=Data+scientist,http://lancktele.com
162,Team Lead Fraud Analyst,,,,https://hh.ru/vacancy/75641735?from=vacancy_search_list&query=Data+scientist,http://lancktele.com
163,Team Lead Fraud Analyst,,,,https://hh.ru/vacancy/75641763?from=vacancy_search_list&query=Data+scientist,http://lancktele.com
164,Software Developer,3000.0,4000.0, EUR,https://hh.ru/vacancy/76163821?from=vacancy_search_list&query=Data+scientist,
